,CMA Number,Chinese Name,English Name,Landing Location,Landing Time,Peak Strength,Landing Strength,coordinate,lat,lon
0,4505,——,——,广东省江门市台山市赤溪镇,1945年7月7日,10级，25m/s，985hPa,8级，20m/s，994hPa,"(21.975801, 112.899795)",21.975801,112.899795
1,4510,——,——,广东省湛江市吴川市振文镇,1945年8月10日,13级，41m/s，960hPa,8级，20m/s，994hPa,"(21.422245, 110.709912)",21.422245,110.709912
2,4515,——,——,广东省惠州市惠阳区澳头镇,1945年8月25日,12级，35m/s，970hPa,12级，35m/s，970hPa,"(22.729788, 114.533781)",22.729788,114.533781
3,4516,——,——,台湾省花莲县新城乡,1945年9月2日,16级，53m/s，940hPa,14级，42m/s，955hPa,"(24.0548042, 121.6111949)",24.0548042,121.6111949
4,4516,——,——,福建省福州市马尾区琅岐镇,1945年9月3日,16级，53m/s，940hPa,10级，25m/s，985hPa,"(26.08539, 119.583599)",26.08539,119.583599
5,4517,——,——,台湾省台东县东河乡,1945年9月10日,14级，46m/s，948hPa,12级，35m/s，970hPa,"(23.0691722, 121.2855249)",23.0691722,121.2855249
6,4517,——,——,福建省福州市福清市东瀚镇,1945年9月11日,14级，46m/s，948hPa,10级，28m/s，982hPa,"(25.43389, 119.607001)",25.43389,119.607001
7,4519,——,——,海南省万宁市和乐镇,1945年9月21日,10级，25m/s，985hPa,10级，25m/s，985hPa,"(18.903521, 110.477641)",18.903521,110.477641
8,4603,——,——,浙江省台州市温岭市石塘镇,1946年6月23日,16级，56m/s，935hPa,12级，35m/s，970hPa,"(28.278539, 121.606196)",28.278539,121.606196
9,4606,——,Lngrid,香港特别行政区,1946年7月18日,17级，61m/s，920hPa,14级，43m/s，958hPa,"(36.778261, -119.4179324)",36.778261,-119.4179324
10,4606,——,Lngrid,广东省珠海市香洲区南屏镇,1946年7月18日,17级，61m/s，920hPa,14级，43m/s，958hPa,"(22.219098, 113.509772)",22.219098,113.509772
11,4610,——,——,广东省江门市台山市汶村镇,1946年9月12日,14级，46m/s，953hPa,14级，46m/s，953hPa,"(21.857424, 112.492654)",21.857424,112.492654
12,4612,——,——,台湾省屏东县满州乡,1946年9月25日,17级，61m/s，920hPa,14级，43m/s，958hPa,"(22.04385, 120.8384093)",22.04385,120.8384093
13,4705,——,——,海南省陵水黎族自治县黎安镇,1947年7月18日,7级，17m/s，997hPa,7级，15m/s，998hPa,"(18.437315, 110.069641)",18.437315,110.069641
14,4708,——,Opal,广东省阳江市阳西县沙扒镇,1947年8月13日,12级，35m/s，970hPa,10级，28m/s，985hPa,"(21.519181, 111.463919)",21.519181,111.463919
15,4709,——,——,福建省宁德市霞浦县下浒镇,1947年8月29日,16级，51m/s，945hPa,12级，35m/s，970hPa,"(26.611258, 119.95511)",26.611258,119.95511
16,4713,——,——,广东省湛江市坡头区南三镇,1947年9月25日,13级，38m/s，965hPa,7级，15m/s，998hPa,"(21.150907, 110.552974)",21.150907,110.552974
17,4714,——,——,台湾省台东县大武乡,1947年10月1日,14级，46m/s，948hPa,13级，38m/s，965hPa,"(22.4141954, 120.907304)",22.4141954,120.907304
18,4714,——,——,福建省漳州市漳浦县赤湖镇,1947年10月2日,14级，46m/s，948hPa,6级，12m/s，1002hPa,"(24.112267, 117.87614)",24.112267,117.87614
19,4716,——,——,广东省汕尾市陆丰市东海镇,1947年10月7日,16级，51m/s，945hPa,11级，30m/s，980hPa,"(22.941303, 115.640373)",22.941303,115.640373
20,4805,——,——,广东省阳江市阳东区新洲镇,1948年6月10日,8级，20m/s，994hPa,7级，17m/s，996hPa,"(21.859793, 112.288595)",21.859793,112.288595
21,4806,——,——,台湾省台北县贡寮乡,1948年7月5日,14级，46m/s，948hPa,14级，43m/s，958hPa,"(25.0168762, 121.9459786)",25.0168762,121.9459786
22,4806,——,——,浙江省台州市玉环县干江镇,1948年7月6日,14级，46m/s，948hPa,14级，43m/s，953hPa,"(28.165293, 121.35142)",28.165293,121.35142
23,4806,——,——,上海市浦东新区南汇新城镇,1948年7月6日,14级，46m/s，948hPa,13级，40m/s，965hPa,"(30.898021, 121.919667)",30.898021,121.919667
24,4807,——,——,广东省惠州市惠阳区澳头镇,1948年7月27日,12级，35m/s，970hPa,8级，20m/s，992hPa,"(22.729788, 114.533781)",22.729788,114.533781
25,4811,——,——,海南省琼海市博鳌镇,1948年8月21日,10级，25m/s，985hPa,10级，25m/s，985hPa,"(19.159714, 110.586606)",19.159714,110.586606
26,4812,——,——,广东省江门市台山市川岛镇,1948年9月3日,14级，43m/s，958hPa,10级，28m/s，982hPa,"(21.848204, 112.692376)",21.848204,112.692376
27,4813,——,——,台湾省台北县贡寮乡,1948年9月6日,13级，41m/s，960hPa,12级，35m/s，970hPa,"(25.0168762, 121.9459786)",25.0168762,121.9459786
28,4815,——,——,台湾省宜兰县苏澳镇,1948年9月17日,13级，41m/s，960hPa,12级，33m/s，975hPa,"(24.594229, 121.8533264)",24.594229,121.8533264
29,4815,——,——,福建省福州市长乐市文武砂镇,1948年9月17日,13级，41m/s，960hPa,10级，28m/s，982hPa,"(25.894539, 119.58136)",25.894539,119.58136
30,4816,——,——,广东省湛江市麻章区东简镇,1948年9月26日,11级，30m/s，980hPa,10级，25m/s，985hPa,"(21.014285, 110.497438)",21.014285,110.497438
31,4816,——,——,海南省澄迈县老城镇,1948年9月27日,11级，30m/s，980hPa,8级，20m/s，992hPa,"(19.953144, 110.126498)",19.953144,110.126498
32,4822,——,——,海南省文昌市锦山镇,1948年11月11日,16级，51m/s，945hPa,6级，12m/s，1000hPa,"(19.99583, 110.69748)",19.99583,110.69748
33,4904,——,Elaine,香港特别行政区,1949年7月10日,11级，30m/s，984hPa,7级，15m/s，998hPa,"(36.778261, -119.4179324)",36.778261,-119.4179324
34,4904,——,Elaine,广东省广州市南沙区新垦镇,1949年7月10日,11级，30m/s，984hPa,6级，13m/s，1000hPa,"(22.640628, 113.611205)",22.640628,113.611205
35,4906,——,Gloria,浙江省舟山市普陀区朱家尖,1949年7月24日,15级，50m/s，960hPa,13级，40m/s，966hPa,"(29.916818, 122.392944)",29.916818,122.392944
36,4906,——,Gloria,浙江嘉兴平湖—上海金山,1949年7月25日,15级，50m/s，960hPa,12级，35m/s，973hPa,"(30.741991, 121.341969)",30.741991,121.341969
37,4906,——,Gloria,山东省威海市乳山市海阳所镇,1949年7月26日,15级，50m/s，960hPa,11级，30m/s，990hPa,"(36.813372, 121.620148)",36.813372,121.620148
38,4908,——,Irma,台湾省屏东县林边乡,1949年7月28日,11级，30m/s，980hPa,10级，25m/s，982hPa,"(22.4347039, 120.5147274)",22.4347039,120.5147274
39,4919,——,——,广东省珠海市金湾区三灶镇,1949年9月8日,11级，30m/s，990hPa,11级，30m/s，990hPa,"(22.047674, 113.351951)",22.047674,113.351951
40,4920,——,Nelly,台湾省台东县长滨乡,1949年9月14日,13级，40m/s，980hPa,12级，35m/s，984hPa,"(23.3451824, 121.43419)",23.3451824,121.43419
41,4920,——,Nelly,广东省汕头市潮阳区海门镇,1949年9月15日,13级，40m/s，980hPa,7级，15m/s，1000hPa,"(23.194689, 116.628391)",23.194689,116.628391
42,4925,——,Omilia,广东省汕头市龙湖区新溪镇,1949年10月4日,12级，35m/s，980hPa,8级，20m/s，990hPa,"(23.395664, 116.773979)",23.395664,116.773979
43,5003,——,——,台湾省云林县四湖乡,1950年6月8日,10级，25m/s，992hPa,8级，20m/s，992hPa,"(23.6376871, 120.2227848)",23.6376871,120.2227848
44,5007,——,Grace,辽宁省丹东市东港市前阳镇,1950年7月22日,12级，35m/s，975hPa,7级，15m/s，995hPa,"(39.969818, 124.201852)",39.969818,124.201852
45,5010,——,——,江苏省南通市启动市寅阳镇,1950年8月1日,11级，30m/s，983hPa,7级，15m/s，998hPa,"(31.735606, 121.804827)",31.735606,121.804827
46,5030,——,Ossia,广东省湛江市麻章区东简镇,1950年10月6日,12级，35m/s，975hPa,8级，20m/s，995hPa,"(21.014285, 110.497438)",21.014285,110.497438
47,5040,——,Delilah,海南省万宁市东澳镇,1950年11月24日,11级，30m/s，985hPa,8级，20m/s，1002hPa,"(18.714928, 110.401814)",18.714928,110.401814
48,5112,——,Louise,广东省湛江市吴川市王村港镇,1951年8月2日,17+级，80m/s，904hPa,12级，35m/s，975hPa,"(21.43287, 110.94614)",21.43287,110.94614
49,5118,——,Nora,海南省文昌市东郊镇,1951年9月3日,13级，40m/s，970hPa,13级，40m/s，975hPa,"(19.573201, 110.851831)",19.573201,110.851831
50,5121,——,Ora,广东省湛江市雷州市东里镇,1951年9月22日,14级，45m/s，970hPa,5级，10m/s，1000hPa,"(20.787623, 110.351623)",20.787623,110.351623
51,5122,——,Pat,浙江省台州市玉环县坎门镇,1951年9月28日,12级，35m/s，985hPa,8级，20m/s，1000hPa,"(28.093759, 121.280991)",28.093759,121.280991
52,5122,——,Pat,浙江嘉兴平湖—上海金山,1951年9月28日,12级，35m/s，985hPa,7级，15m/s，1005hPa,"(30.741991, 121.341969)",30.741991,121.341969
53,5201,——,Charlotte,广东省茂名市电白区博贺镇,1952年6月13日,13级，40m/s，960hPa,10级，25m/s，985hPa,"(21.487748, 111.232299)",21.487748,111.232299
54,5204,——,Emma,广东省湛江市吴川市王村港镇,1952年7月6日,14级，45m/s，973hPa,10级，25m/s，985hPa,"(21.43287, 110.94614)",21.43287,110.94614
55,5207,——,Gilda,浙江省台州市温岭市石塘镇,1952年7月19日,11级，30m/s，985hPa,7级，15m/s，985hPa,"(28.278539, 121.606196)",28.278539,121.606196
56,5208,——,Harriet,广东省汕尾市陆丰市碣石镇,1952年7月30日,13级，40m/s，980hPa,10级，25m/s，988hPa,"(22.816884, 115.830376)",22.816884,115.830376
57,5215,——,Lois,海南省万宁市山根镇,1952年8月28日,13级，40m/s，980hPa,13级，38m/s，980hPa,"(18.967334, 110.486591)",18.967334,110.486591
58,5216,——,Mary,福建省福州市福清市东瀚镇,1952年9月1日,12级，35m/s，985hPa,9级，23m/s，992hPa,"(25.43389, 119.607001)",25.43389,119.607001
59,5217,——,Nona,海南省文昌市翁田镇,1952年9月6日,13级，40m/s，980hPa,12级，35m/s，985hPa,"(19.931473, 110.880179)",19.931473,110.880179
60,5218,——,——,福建省漳州市东山县陈城镇,1952年9月12日,11级，30m/s，990hPa,11级，30m/s，990hPa,"(23.595655, 117.38702)",23.595655,117.38702
61,5218,——,——,台湾省台东县东河乡,1952年9月11日,11级，30m/s，990hPa,10级，25m/s，995hPa,"(23.0691722, 121.2855249)",23.0691722,121.2855249
62,5221,——,——,海南省万宁市南桥镇,1952年9月18日,8级，20m/s，998hPa,8级，20m/s，998hPa,"(18.680116, 110.152697)",18.680116,110.152697
63,5229,——,Bess,台湾省高雄市林园乡,1952年11月13日,17+级，75m/s，915hPa,14级，45m/s，965hPa,"(22.4986756, 120.4011911)",22.4986756,120.4011911
64,5231,——,Della,台湾省云林县水林乡,1952年11月27日,14级，45m/s，980hPa,7级，15m/s，1002hPa,"(23.571929, 120.2487829)",23.571929,120.2487829
65,5305,——,Kit,福建省福州市福清市江阴镇,1953年7月4日,17+级，80m/s，910hPa,12级，35m/s，982hPa,"(25.455613, 119.320389)",25.455613,119.320389
66,5305,——,Kit,台湾省花莲县新城乡,1953年7月4日,17+级，80m/s，910hPa,16级，52m/s，958hPa,"(24.0548042, 121.6111949)",24.0548042,121.6111949
67,5310,——,Nina,浙江省温州市乐清市蒲歧镇,1953年8月17日,17+级，90m/s，895hPa,15级，50m/s，955hPa,"(28.169443, 121.05016)",28.169443,121.05016
68,5312,——,——,海南省文昌市龙楼镇,1953年8月10日,6级，12m/s，988hPa,6级，12m/s，993hPa,"(19.653286, 110.968604)",19.653286,110.968604
69,5313,——,Ophelia,海南省文昌市昌洒镇,1953年8月14日,15级，50m/s，960hPa,13级，40m/s，962hPa,"(19.76179, 110.900498)",19.76179,110.900498
70,5314,——,Phyllis,福建省莆田市涵江区白塘镇,1953年8月21日,14级，45m/s，975hPa,10级，25m/s，990hPa,"(25.442584, 119.094991)",25.442584,119.094991
71,5314,——,Phyllis,台湾省花莲县丰滨乡,1953年8月20日,14级，45m/s，975hPa,13级，38m/s，980hPa,"(23.5851901, 121.5027404)",23.5851901,121.5027404
72,5315,——,Rita,广东省汕尾市海丰县小漠镇,1953年9月2日,17+级，65m/s，942hPa,12级，35m/s，970hPa,"(22.774983, 115.0384)",22.774983,115.0384
73,5317,——,Susan,广东省珠海市金湾区三灶镇,1953年9月19日,15级，50m/s，970hPa,12级，35m/s，985hPa,"(22.047674, 113.351951)",22.047674,113.351951
74,5320,——,——,海南省文昌市翁田镇,1953年9月27日,8级，20m/s，995hPa,7级，15m/s，997hPa,"(19.931473, 110.880179)",19.931473,110.880179
75,5326,——,Betty,海南省文昌市东郊镇,1953年11月1日,16级，55m/s，967hPa,13级，38m/s，970hPa,"(19.573201, 110.851831)",19.573201,110.851831
76,5402,——,Elsie,海南省陵水黎族自治县英州镇,1954年5月11日,15级，50m/s，945hPa,12级，35m/s，960hPa,"(18.427366, 109.858895)",18.427366,109.858895
77,5402,——,Elsie,广西省北海市银海区福成镇,1954年5月12日,15级，50m/s，945hPa,8级，20m/s，990hPa,"(21.567773, 109.335499)",21.567773,109.335499
78,5411,——,——,上海市浦东新区东海镇,1954年8月25日,10级，25m/s，994hPa,8级，20m/s，994hPa,"(31.094757, 121.812809)",31.094757,121.812809
79,5413,——,Ida,广东省湛江市麻章区东简镇,1954年8月30日,17+级，85m/s，890hPa,14级，45m/s，950hPa,"(21.014285, 110.497438)",21.014285,110.497438
80,5427,——,Pamela,广东省江门市台山市赤溪镇,1954年11月6日,17+级，85m/s，900hPa,10级，28m/s，985hPa,"(21.975801, 112.899795)",21.975801,112.899795
81,5427,——,Pamela,广东省湛江市徐闻县锦和镇,1954年11月7日,17+级，85m/s，900hPa,5级，10m/s，1008hPa,"(20.570305, 110.425946)",20.570305,110.425946
82,5429,——,Ruby,广东省汕尾市海丰县小漠镇,1954年11月12日,17+级，75m/s，938hPa,7级，15m/s，1000hPa,"(22.774983, 115.0384)",22.774983,115.0384
83,5505,——,Billie,广东省江门市台山市赤溪镇,1955年6月5日,12级，35m/s，986hPa,10级，25m/s，990hPa,"(21.975801, 112.899795)",21.975801,112.899795
84,5507,——,Clara,山东省威海市乳山市海阳所镇,1955年7月17日,17+级，75m/s，918hPa,6级，12m/s，998hPa,"(36.813372, 121.620148)",36.813372,121.620148
85,5519,——,Iris,台湾省台东县太麻里乡,1955年8月23日,14级，45m/s，965hPa,14级，42m/s，967hPa,"(22.6102278, 121.0044631)",22.6102278,121.0044631
86,5519,——,Iris,福建省漳州市龙海市港尾镇,1955年8月24日,14级，45m/s，965hPa,8级，20m/s，990hPa,"(24.317455, 118.012103)",24.317455,118.012103
87,5526,——,Kate,海南省琼海市潭门镇,1955年9月25日,17+级，65m/s，931hPa,15级，50m/s，958hPa,"(19.24169, 110.61694)",19.24169,110.61694
88,5609,——,Vera,海南省万宁市龙滚镇,1956年7月8日,12级，35m/s，975hPa,12级，35m/s，975hPa,"(19.058665, 110.519209)",19.058665,110.519209
89,5612,——,Wanda,浙江省宁波市象山县丹城镇,1956年8月1日,17+级，90m/s，902hPa,16级，55m/s，923hPa,"(29.470026, 121.874463)",29.470026,121.874463
90,5622,——,Dinah,台湾省花莲县新城乡,1956年9月3日,14级，45m/s，970hPa,14级，45m/s，970hPa,"(24.0548042, 121.6111949)",24.0548042,121.6111949
91,5622,——,Dinah,福建省福州市长乐市金峰镇,1956年9月3日,14级，45m/s，970hPa,13级，38m/s，975hPa,"(25.977287, 119.630585)",25.977287,119.630585
92,5626,——,Freda,台湾省宜兰县苏澳镇,1956年9月16日,15级，50m/s，970hPa,13级，40m/s，980hPa,"(24.594229, 121.8533264)",24.594229,121.8533264
93,5626,——,Freda,福建省漳州市龙海市港尾镇,1956年9月18日,15级，50m/s，970hPa,10级，25m/s，991hPa,"(24.317455, 118.012103)",24.317455,118.012103
94,5627,——,Gilda,台湾省屏东县满州乡,1956年9月22日,17+级，75m/s，937hPa,14级，45m/s，965hPa,"(22.04385, 120.8384093)",22.04385,120.8384093
95,5627,——,Gilda,福建省泉州市惠安县东园镇,1956年9月23日,17+级，75m/s，937hPa,8级，20m/s，992hPa,"(24.915752, 118.754276)",24.915752,118.754276
96,5705,——,Virginia,台湾省台东县成功镇,1957年6月25日,17+级，90m/s，898hPa,16级，55m/s，960hPa,"(23.1261527, 121.3655989)",23.1261527,121.3655989
97,5708,——,Wendy,广东省深圳市龙岗区大鹏半岛,1957年7月16日,15级，50m/s，983hPa,11级，30m/s，985hPa,"(22.5505556, 114.4913889)",22.5505556,114.4913889
98,5711,——,——,广东省阳江市阳西县溪头镇,1957年8月20日,10级，25m/s，980hPa,8级，20m/s，986hPa,"(21.653075, 111.757796)",21.653075,111.757796
99,5717,——,Carmen,广东省潮州市饶平县大埕镇,1957年9月15日,17级，60m/s，959hPa,12级，35m/s，985hPa,"(23.607149, 117.14577)",23.607149,117.14577
100,5719,——,Gloria,广东省珠海市香洲区横琴镇,1957年9月22日,14级，45m/s，970hPa,14级，45m/s，970hPa,"(22.113583, 113.547358)",22.113583,113.547358
101,5723,——,——,广东省江门市台山市都斛镇,1957年10月15日,8级，20m/s，1000hPa,6级，12m/s，1000hPa,"(22.060491, 112.943307)",22.060491,112.943307
102,5810,——,Winnie,台湾省花莲县丰滨乡,1958年7月15日,17+级，75m/s，925hPa,17级，60m/s，950hPa,"(23.5851901, 121.5027404)",23.5851901,121.5027404
103,5810,——,Winnie,福建省厦门市翔安区大嶝小镇,1958年7月16日,17+级，75m/s，925hPa,12级，33m/s，980hPa,"(36.778261, -119.4179324)",36.778261,-119.4179324
104,5822,——,Grace,福建省宁德市福鼎市店下镇,1958年9月4日,17+级，100m/s，901hPa,14级，45m/s，975hPa,"(27.156346, 120.325956)",27.156346,120.325956
105,5828,——,——,广东省湛江市雷州市东里镇,1958年9月30日,8级，20m/s，998hPa,5级，9m/s，1008hPa,"(20.787623, 110.351623)",20.787623,110.351623
106,5901,——,Billie,浙江温州苍南—福建宁德福鼎,1959年7月16日,14级，45m/s，968hPa,12级，35m/s，980hPa,"(27.4973522, 120.3843026)",27.4973522,120.3843026
107,5901,——,Billie,上海市金山区漕泾镇,1959年7月17日,14级，45m/s，968hPa,11级，30m/s，988hPa,"(30.794054, 121.410911)",30.794054,121.410911
108,5903,——,Iris,福建省漳州市漳浦县赤湖镇,1959年8月23日,15级，50m/s，965hPa,13级，40m/s，975hPa,"(24.112267, 117.87614)",24.112267,117.87614
109,5904,——,Joan,台湾省台东县成功镇,1959年8月29日,17+级，100m/s，885hPa,17+级，75m/s，930hPa,"(23.1261527, 121.3655989)",23.1261527,121.3655989
110,5904,——,Joan,福建省泉州市惠安县崇武镇,1959年8月30日,17+级，100m/s，885hPa,12级，35m/s，970hPa,"(24.893163, 118.918008)",24.893163,118.918008
111,5905,——,Louise,台湾省花莲县新城乡,1959年9月3日,17级，60m/s，964hPa,17级，60m/s，964hPa,"(24.0548042, 121.6111949)",24.0548042,121.6111949
112,5905,——,Louise,福建省福州市连江县安凯乡,1959年9月4日,17级，60m/s，964hPa,11级，30m/s，992hPa,"(26.339973, 119.849941)",26.339973,119.849941
113,5905,——,Louise,上海市金山区漕泾镇,1959年9月6日,17级，60m/s，964hPa,8级，20m/s，997hPa,"(30.794054, 121.410911)",30.794054,121.410911
114,5906,——,Nora,广东省汕尾市海丰市鲘门镇,1959年9月10日,11级，30m/s，985hPa,11级，30m/s，985hPa,"(22.811837, 115.162466)",22.811837,115.162466
115,5913,——,Freda,台湾省屏东县恒春镇,1959年11月18日,17+级，65m/s，940hPa,11级，30m/s，992hPa,"(22.0008528, 120.7438234)",22.0008528,120.7438234
116,7406,——,Dinah,海南省文昌市东郊镇,1974年6月13日,12级，35m/s，974hPa,12级，33m/s，975hPa,"(19.573201, 110.851831)",19.573201,110.851831
117,7410,——,Jeanne,台湾省宜兰县头城镇,1974年7月19日,11级，30m/s，995hPa,11级，30m/s，995hPa,"(24.8576121, 121.8234687)",24.8576121,121.8234687
118,7410,——,Jeanne,浙江省台州市温岭市石塘镇,1974年7月20日,11级，30m/s，995hPa,10级，25m/s，995hPa,"(28.278539, 121.606196)",28.278539,121.606196
119,7410,——,Jeanne,上海市浦东新区芦潮港镇,1974年7月20日,11级，30m/s，995hPa,8级，18m/s，1000hPa,"(30.85666, 121.846525)",30.85666,121.846525
120,7411,——,Ivy,广东省阳江市阳西县沙扒镇,1974年7月22日,17级，60m/s，945hPa,13级，40m/s，970hPa,"(21.519181, 111.463919)",21.519181,111.463919
121,7412,——,Lucy,福建省泉州市惠安县张坂镇,1974年8月11日,10级，25m/s，990hPa,7级，15m/s，990hPa,"(24.896927, 118.797511)",24.896927,118.797511
122,7413,——,Mary,浙江省台州市三门县三角塘,1974年8月19日,12级，35m/s，970hPa,11级，30m/s，977hPa,"(36.778261, -119.4179324)",36.778261,-119.4179324
123,7416,——,——,山东省威海市荣成市宁津镇,1974年8月29日,11级，30m/s，980hPa,11级，30m/s，985hPa,"(37.16516, 122.486657)",37.16516,122.486657
124,7416,——,——,辽宁省葫芦岛市绥中市王宝镇,1974年8月30日,11级，30m/s，980hPa,10级，25m/s，986hPa,"(40.151922, 120.138334)",40.151922,120.138334
125,7419,——,——,广东省湛江市吴川市王村港镇,1974年9月6日,10级，25m/s，980hPa,8级，20m/s，987hPa,"(21.43287, 110.94614)",21.43287,110.94614
126,7420,——,Wendy,台湾省宜兰县头城镇,1974年9月29日,11级，30m/s，984hPa,11级，30m/s，986hPa,"(24.8576121, 121.8234687)",24.8576121,121.8234687
127,7421,——,Bess,海南省文昌市会文镇,1974年10月13日,13级，40m/s，980hPa,11级，30m/s，987hPa,"(19.462573, 110.731756)",19.462573,110.731756
128,7423,——,Della,海南省万宁市后安镇,1974年10月26日,15级，50m/s，958hPa,12级，35m/s，975hPa,"(18.867778, 110.443872)",18.867778,110.443872
129,7427,——,Irma,广东省江门市台山市赤溪镇,1974年12月2日,15级，50m/s，939hPa,10级，25m/s，985hPa,"(21.975801, 112.899795)",21.975801,112.899795
130,7503,——,Nina,台湾省花莲县寿丰乡,1975年8月3日,17+级，65m/s，900hPa,16级，52m/s，940hPa,"(23.8593411, 121.5598345)",23.8593411,121.5598345
131,7503,——,Nina,福建省泉州市晋江市深沪镇,1975年8月4日,17+级，65m/s，900hPa,12级，35m/s，975hPa,"(24.615397, 118.675554)",24.615397,118.675554
132,7504,——,Cora,浙江省台州市温岭市石塘镇,1975年8月12日,13级，40m/s，970hPa,13级，40m/s，970hPa,"(28.278539, 121.606196)",28.278539,121.606196
133,7510,——,Alice,海南省万宁市山根镇,1975年9月20日,12级，35m/s，970hPa,11级，30m/s，980hPa,"(18.967334, 110.486591)",18.967334,110.486591
134,7511,——,Betty,台湾省台东县太麻里乡,1975年9月22日,13级，40m/s，948hPa,13级，38m/s，960hPa,"(22.6102278, 121.0044631)",22.6102278,121.0044631
135,7511,——,Betty,广东省潮州市饶平县大埕镇,1975年9月23日,13级，40m/s，948hPa,10级，28m/s，985hPa,"(23.607149, 117.14577)",23.607149,117.14577
